filename, language, JavaScript, Vue.js, wxml, TypeScript, JSON, CSS, wxs, comment, blank, total
components/vant/cell/index.wxss, CSS, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
components/vant/checkbox-group/index.d.ts, TypeScript, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
components/vant/checkbox-group/index.js, JavaScript, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
components/vant/checkbox-group/index.json, JSON, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
components/vant/checkbox-group/index.wxml, wxml, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
components/vant/checkbox-group/index.wxss, CSS, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
components/vant/checkbox/index.d.ts, TypeScript, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
components/vant/checkbox/index.js, JavaScript, 65, 0, 0, 0, 0, 0, 0, 2, 1, 68
components/vant/checkbox/index.json, JSON, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
components/vant/checkbox/index.wxml, wxml, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
components/vant/checkbox/index.wxss, CSS, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
components/vant/col/index.d.ts, TypeScript, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
components/vant/col/index.js, JavaScript, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
components/vant/col/index.json, JSON, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
components/vant/col/index.wxml, wxml, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
components/vant/col/index.wxss, CSS, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
components/vant/collapse-item/index.d.ts, TypeScript, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
components/vant/collapse-item/index.js, JavaScript, 94, 0, 0, 0, 0, 0, 0, 0, 1, 95
components/vant/collapse-item/index.json, JSON, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
components/vant/collapse-item/index.wxml, wxml, 0, 0, 43, 0, 0, 0, 0, 0, 2, 45
components/vant/collapse-item/index.wxss, CSS, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
